Date,Source / Medium,Landing Page,Page,Exit Page,Pageviews,Time on Page,Bounces,Entrances,Unique Pageviews,Sessions,Exits
20191203,Linkedin / PageLink,/public-service,/public-service,/public-service,13,0:00:00,13,13,13,13,13
20200125,DBM / Display,/public-service,/public-service,/public-service,13,0:00:06,10,12,12,12,12
20191207,DBM / Display,/public-service,/public-service,/public-service,12,0:00:22,4,7,7,7,7
20191228,Linkedin / PageLink,/public-service,/public-service,/public-service,12,0:54:25,6,9,9,9,9
20200102,DBM / Display,/public-service,/public-service,/public-service,12,0:00:22,9,10,10,10,10
20200126,DBM / Display,/public-service,/public-service,/public-service,12,0:00:00,9,10,10,10,10
20200210,DBM / Display,/public-service,/public-service,/public-service,12,0:00:01,9,10,10,10,10
20200215,DBM / Display,/public-service,/public-service,/public-service,12,0:00:20,4,7,7,7,7
20191204,DBM / Display,/public-service,/public-service,/public-service,10,0:00:00,10,10,10,10,10
20191227,Facebook / PageLink,/public-service,/public-service,/public-service,10,0:40:47,4,7,7,7,7
20200101,DBM / Display,/public-service,/public-service,/public-service,10,0:00:07,7,9,9,9,9
20200103,DBM / Display,/public-service,/public-service,/public-service,10,0:00:14,6,7,7,7,7
20200219,DBM / Display,/public-service,/public-service,/public-service,10,0:00:14,6,7,7,7,7
20200222,DBM / Display,/public-service,/public-service,/public-service,10,0:00:13,6,7,7,7,7
20191218,DBM / Display,/public-service,/public-service,/public-service,9,0:00:09,6,7,7,7,7
20200103,Facebook / PageLink,/public-service,/public-service,/public-service,9,0:00:19,1,4,4,4,4
20200111,DBM / Display,/public-service,/public-service,/public-service,9,0:00:07,6,7,7,7,7
20200111,Linkedin / PageLink,/public-service,/public-service,/public-service,9,0:00:12,4,6,6,6,6
20200117,DBM / Display,/public-service,/public-service,/public-service,9,0:00:16,4,6,6,6,6
20200118,Linkedin / PageLink,/public-service,/public-service,/public-service,9,0:00:00,9,9,9,9,9
20200127,DBM / Display,/public-service,/public-service,/public-service,9,0:00:09,6,7,7,7,7
20200201,Linkedin / PageLink,/public-service,/public-service,/public-service,9,0:30:39,6,7,7,7,7
20200203,DBM / Display,/public-service,/public-service,/public-service,9,0:00:00,9,9,9,9,9
20200209,Linkedin / PageLink,/public-service,/public-service,/public-service,9,0:00:00,9,9,9,9,9
20200213,DBM / Display,/public-service,/public-service,/public-service,9,0:00:14,3,6,6,6,6
20191220,DBM / Display,/public-service,/public-service,/public-service,7,0:00:00,7,7,7,7,7
20191226,Linkedin / PageLink,/public-service,/public-service,/public-service,7,0:00:00,7,7,7,7,7
20200101,Facebook / PageLink,/public-service,/public-service,/public-service,7,0:00:00,7,7,7,7,7
20200105,Facebook / PageLink,/public-service,/public-service,/public-service,7,0:14:28,1,4,4,4,4
20200110,DBM / Display,/public-service,/public-service,/public-service,7,0:00:00,7,7,7,7,7
20200112,Facebook / PageLink,/public-service,/public-service,/public-service,7,0:00:36,4,6,6,6,6
20200118,Facebook / PageLink,/public-service,/public-service,/public-service,7,0:00:23,4,6,6,6,6
20200120,DBM / Display,/public-service,/public-service,/public-service,7,0:00:14,1,4,4,4,4
20200125,Linkedin / PageLink,/public-service,/public-service,/public-service,7,0:00:00,7,7,7,7,7
20200209,Facebook / PageLink,/public-service,/public-service,/public-service,7,0:01:05,3,4,4,4,4
20200219,Facebook / PageLink,/public-service,/public-service,/public-service,7,0:00:00,7,7,7,7,7
20191212,DBM / Display,/public-service,/public-service,/public-service,6,0:04:29,3,4,4,4,4
20191225,Facebook / PageLink,/public-service,/public-service,/public-service,6,0:00:00,6,6,6,6,6
20200102,Linkedin / PageLink,/public-service,/public-service,/public-service,6,0:00:00,6,6,6,6,6
20200107,Facebook / PageLink,/public-service,/public-service,/public-service,6,0:00:00,6,6,6,6,6
20200108,Facebook / PageLink,/public-service,/public-service,/public-service,6,0:00:00,6,6,6,6,6
20200111,Facebook / PageLink,/public-service,/public-service,/public-service,6,0:00:00,6,6,6,6,6
20200115,Linkedin / PageLink,/public-service,/public-service,/public-service,6,0:00:00,6,6,6,6,6
20200116,DBM / Display,/public-service,/public-service,/public-service,6,0:00:00,6,6,6,6,6
20200120,Facebook / PageLink,/public-service,/public-service,/public-service,6,0:00:00,6,6,6,6,6
20200129,Facebook / PageLink,/public-service,/public-service,/public-service,6,0:00:00,6,6,6,6,6
20200130,Facebook / PageLink,/public-service,/public-service,/public-service,6,0:00:00,6,6,6,6,6
20200202,Facebook / PageLink,/public-service,/public-service,/public-service,6,0:00:00,6,6,6,6,6
20200204,Linkedin / PageLink,/public-service,/public-service,/public-service,6,0:00:12,3,4,4,4,4
20200220,Linkedin / PageLink,/public-service,/public-service,/public-service,6,0:00:00,6,6,6,6,6
20200223,DBM / Display,/public-service,/public-service,/public-service,6,0:00:06,3,4,4,4,4
20191216,Facebook / PageLink,/public-service,/public-service,/public-service,4,0:00:00,4,4,4,4,4
20191217,Linkedin / PageLink,/public-service,/public-service,/public-service,4,0:00:00,4,4,4,4,4
20191218,Linkedin / PageLink,/public-service,/public-service,/public-service,4,0:00:00,4,4,4,4,4
20191219,Linkedin / PageLink,/public-service,/public-service,/public-service,4,0:00:00,4,4,4,4,4
20191223,Linkedin / PageLink,/public-service,/public-service,/public-service,4,0:00:00,4,4,4,4,4
20191224,Linkedin / PageLink,/public-service,/public-service,/public-service,4,0:00:00,4,4,4,4,4
20191228,Facebook / PageLink,/public-service,/public-service,/public-service,4,0:00:00,4,4,4,4,4
20191230,Linkedin / PageLink,/public-service,/public-service,/public-service,4,0:00:00,4,4,4,4,4
20200104,Facebook / PageLink,/public-service,/public-service,/public-service,4,0:00:00,4,4,4,4,4
20200105,Linkedin / PageLink,/public-service,/public-service,/public-service,4,0:00:00,4,4,4,4,4
20200109,Facebook / PageLink,/public-service,/public-service,/public-service,4,0:00:00,4,4,4,4,4
20200110,Facebook / PageLink,/public-service,/public-service,/public-service,4,0:00:00,4,4,4,4,4
20200110,Linkedin / PageLink,/public-service,/public-service,/public-service,4,0:00:00,4,4,4,4,4
20200112,Linkedin / PageLink,/public-service,/public-service,/public-service,4,0:00:00,4,4,4,4,4
20200128,Facebook / PageLink,/public-service,/public-service,/public-service,4,0:00:00,4,4,4,4,4
20200131,Linkedin / PageLink,/public-service,/public-service,/public-service,4,0:00:00,4,4,4,4,4
20200205,Facebook / PageLink,/public-service,/public-service,/public-service,4,0:00:32,1,3,3,3,3
20200215,Facebook / PageLink,/public-service,/public-service,/public-service,4,0:00:00,4,4,4,4,4
20200215,Linkedin / PageLink,/public-service,/public-service,/public-service,4,0:00:19,1,3,3,3,3
20200216,Linkedin / PageLink,/public-service,/public-service,/public-service,4,0:00:09,0,1,1,1,1
20200220,Facebook / PageLink,/public-service,/public-service,/public-service,4,0:00:01,1,3,3,3,3
20200222,Facebook / PageLink,/public-service,/public-service,/public-service,4,0:00:00,4,4,4,4,4
20191204,Linkedin / PageLink,/public-service,/public-service,/public-service,3,0:00:00,3,3,3,3,3
20191207,Linkedin / PageLink,/public-service,/public-service,/public-service,3,0:00:00,3,3,3,3,3
20191208,Facebook / PageLink,/public-service,/public-service,/public-service,3,0:00:00,3,3,3,3,3
20191209,DBM / Display,/public-service,/public-service,/public-service,3,0:00:00,3,3,3,3,3
20191209,Facebook / PageLink,/public-service,/public-service,/public-service,3,0:00:00,3,3,3,3,3
20191210,(direct) / (none),/public-service,/public-service,/public-service,3,0:00:00,3,3,3,3,3
20191210,Facebook / PageLink,/public-service,/public-service,/public-service,3,0:00:00,3,3,3,3,3
20191211,DBM / Display,/public-service,/public-service,/public-service,3,0:00:07,0,1,1,1,1
20191221,Linkedin / PageLink,/public-service,/public-service,/public-service,3,0:00:00,3,3,3,3,3
20191222,Linkedin / PageLink,/public-service,/public-service,/public-service,3,0:00:00,3,3,3,3,3
20191226,Facebook / PageLink,/public-service,/public-service,/public-service,3,0:00:00,3,3,3,3,3
20191230,Facebook / PageLink,/public-service,/public-service,/public-service,3,0:00:00,3,3,3,3,3
20200102,Facebook / PageLink,/public-service,/public-service,/public-service,3,0:00:00,3,3,3,3,3
20200103,Linkedin / PageLink,/public-service,/public-service,/public-service,3,0:00:00,3,3,3,3,3
20200104,Linkedin / PageLink,/public-service,/public-service,/public-service,3,0:00:00,3,3,3,3,3
20200106,Facebook / PageLink,/public-service,/public-service,/public-service,3,0:00:00,3,3,3,3,3
20200106,Linkedin / PageLink,/public-service,/public-service,/public-service,3,0:00:04,0,1,1,1,1
20200112,(direct) / (none),/public-service,/public-service,/public-service,3,0:00:00,3,3,3,3,3
20200113,Facebook / PageLink,/public-service,/public-service,/public-service,3,0:00:00,3,3,3,3,3
20200116,Facebook / PageLink,/public-service,/public-service,/public-service,3,0:00:00,3,3,3,3,3
20200116,Linkedin / PageLink,/public-service,/public-service,/public-service,3,0:00:00,3,3,3,3,3
20200117,Linkedin / PageLink,/public-service,/public-service,/public-service,3,0:00:00,3,3,3,3,3
20200119,Linkedin / PageLink,/public-service,/public-service,/public-service,3,0:00:00,3,3,3,3,3
20200120,Linkedin / PageLink,/public-service,/public-service,/public-service,3,0:00:00,3,3,3,3,3
20200121,Linkedin / PageLink,/public-service,/public-service,/public-service,3,0:00:00,3,3,3,3,3
20200122,Facebook / PageLink,/public-service,/public-service,/public-service,3,0:00:00,3,3,3,3,3
20200126,Facebook / PageLink,/public-service,/public-service,/public-service,3,0:00:00,3,3,3,3,3
20200126,Linkedin / PageLink,/public-service,/public-service,/public-service,3,0:00:00,3,3,3,3,3
20200127,Linkedin / PageLink,/public-service,/public-service,/public-service,3,0:00:00,3,3,3,3,3
20200129,Linkedin / PageLink,/public-service,/public-service,/public-service,3,0:00:00,3,3,3,3,3
20200201,Facebook / PageLink,/public-service,/public-service,/public-service,3,0:00:00,3,3,3,3,3
20200202,Linkedin / PageLink,/public-service,/public-service,/public-service,3,0:00:00,3,3,3,3,3
20200203,Linkedin / PageLink,/public-service,/public-service,/public-service,3,0:00:00,3,3,3,3,3
20200204,Facebook / PageLink,/public-service,/public-service,/public-service,3,0:00:00,3,3,3,3,3
20200206,Facebook / PageLink,/public-service,/public-service,/public-service,3,0:00:00,3,3,3,3,3
20200207,Linkedin / PageLink,/public-service,/public-service,/public-service,3,0:00:00,3,3,3,3,3
20200211,Linkedin / PageLink,/public-service,/public-service,/public-service,3,0:00:00,3,3,3,3,3
20200213,Facebook / PageLink,/public-service,/public-service,/public-service,3,0:00:00,3,3,3,3,3
20200216,Facebook / PageLink,/public-service,/public-service,/public-service,3,0:00:00,3,3,3,3,3
20200218,Linkedin / PageLink,/public-service,/public-service,/public-service,3,0:00:00,3,3,3,3,3
20200219,Linkedin / PageLink,/public-service,/public-service,/public-service,3,0:00:00,3,3,3,3,3
20200221,Facebook / PageLink,/public-service,/public-service,/public-service,3,0:00:00,3,3,3,3,3
20191205,Facebook / PageLink,/public-service,/public-service,/public-service,1,0:00:00,1,1,1,1,1
20191207,Facebook / PageLink,/public-service,/public-service,/public-service,1,0:00:00,1,1,1,1,1
20191208,DBM / Display,/public-service,/public-service,/public-service,1,0:00:00,1,1,1,1,1
20191208,Linkedin / PageLink,/public-service,/public-service,/public-service,1,0:00:00,1,1,1,1,1
20191209,Linkedin / PageLink,/public-service,/public-service,/public-service,1,0:00:00,1,1,1,1,1
20191215,Linkedin / PageLink,/public-service,/public-service,/public-service,1,0:00:00,1,1,1,1,1
20191216,Linkedin / PageLink,/public-service,/public-service,/public-service,1,0:00:00,1,1,1,1,1
20191217,Facebook / PageLink,/public-service,/public-service,/public-service,1,0:00:00,1,1,1,1,1
20191218,Facebook / PageLink,/public-service,/public-service,/public-service,1,0:00:00,1,1,1,1,1
20191219,Facebook / PageLink,/public-service,/public-service,/,1,0:03:16,0,1,1,1,0
20191219,google / organic,/computing/myusm-campus-portal,/public-service,/public-service,1,0:00:00,0,0,1,0,1
20191221,Facebook / PageLink,/public-service,/public-service,/public-health/certificate-graduate-study-healthcare-quality-and-patient-safety,1,0:00:42,0,1,1,1,0
20191221,Facebook / PageLink,/public-service,/public-service,/public-service,1,0:00:00,1,1,1,1,1
20191221,Linkedin / PageLink,/public-service,/public-service,/public-health/certificate-graduate-study-public-health,1,0:00:24,0,1,1,1,0
20191223,Facebook / PageLink,/public-service,/public-service,/public-service,1,0:00:00,1,1,1,1,1
20191225,Linkedin / PageLink,/public-service,/public-service,/public-service,1,0:00:00,1,1,1,1,1
20191226,Linkedin / PageLink,/public-service,/public-service,/policy-planning-management/mppm-policy-planning-and-management,1,0:01:18,0,1,1,1,0
20191227,Linkedin / PageLink,/public-service,/public-service,/public-service,1,0:00:00,1,1,1,1,1
20191228,Facebook / PageLink,/public-service,/public-service,/,1,0:02:54,0,1,1,1,0
20191231,Linkedin / PageLink,/public-service,/public-service,/public-service,1,0:00:00,1,1,1,1,1
20200101,Linkedin / PageLink,/public-service,/public-service,/public-health/certificate-graduate-study-public-health,1,0:00:29,0,1,1,1,0
20200107,cms.usm.maine.edu / referral,/orio,/public-service,/environmental-science/certificate-environmental-education,1,0:33:09,0,0,1,0,0
20200107,Linkedin / PageLink,/public-service,/public-service,/public-service,1,0:00:00,1,1,1,1,1
20200108,Facebook / PageLink,/public-service,/public-service,/,1,0:00:13,0,1,1,1,0
20200108,Facebook / PageLink,/public-service,/public-service,/public-health/certificate-graduate-study-healthcare-quality-and-patient-safety,1,0:01:35,0,1,1,1,0
20200108,Linkedin / PageLink,/public-service,/public-service,/public-service,1,0:00:00,1,1,1,1,1
20200109,DBM / Display,/public-service,/public-service,/public-service,1,0:00:00,1,1,1,1,1
20200112,yahoo / organic,/public-service,/public-service,/public-service,1,0:00:00,1,1,1,1,1
20200113,Facebook / PageLink,/public-service,/public-service,/public-health/mph-public-health,1,0:01:35,0,1,1,1,0
20200113,Linkedin / PageLink,/public-service,/public-service,/public-service,1,0:00:00,1,1,1,1,1
20200114,Facebook / PageLink,/public-service,/public-service,/public-service,1,0:00:00,1,1,1,1,1
20200114,Linkedin / PageLink,/public-service,/public-service,/public-service,1,0:00:00,1,1,1,1,1
20200116,DBM / Display,/public-service,/public-service,/student-financial-services/tuition-and-fees,1,0:01:13,0,1,1,1,0
20200119,Facebook / PageLink,/public-service,/public-service,/public-service,1,0:00:00,1,1,1,1,1
20200121,Facebook / PageLink,/public-service,/public-service,/public-service,1,0:00:00,1,1,1,1,1
20200122,DBM / Display,/public-service,/public-service,/policy-planning-management/mppm-policy-planning-and-management,1,0:02:01,0,1,1,1,0
20200124,Facebook / PageLink,/public-service,/public-service,/public-service,1,0:00:00,1,1,1,1,1
20200126,(not set) / (not set),/public-service,/public-service,/public-service,1,0:00:00,1,1,1,1,1
20200127,Linkedin / PageLink,/public-service,/public-service,/public-health/mph-public-health,1,0:00:48,0,1,1,1,0
20200128,Linkedin / PageLink,/public-service,/public-service,/public-service,1,0:00:00,1,1,1,1,1
20200131,Facebook / PageLink,/public-service,/public-service,/public-health/mph-public-health,1,0:00:43,0,1,1,1,0
20200201,Facebook / PageLink,/public-service,/public-service,/registration-services/academiccalendar,1,0:01:02,0,1,1,1,0
20200203,Facebook / PageLink,/public-service,/public-service,/public-service,1,0:00:00,1,1,1,1,1
20200204,Facebook / PageLink,/public-service,/public-service,/policy-planning-management/certificate-graduate-study-public-management,1,0:02:20,0,1,1,1,0
20200205,Facebook / PageLink,/public-service,/public-service,/public-health/degrees,1,0:00:52,0,1,1,1,0
20200205,Linkedin / PageLink,/public-service,/public-service,/public-service,1,0:00:00,1,1,1,1,1
20200206,Linkedin / PageLink,/public-service,/public-service,/public-service,1,0:00:00,1,1,1,1,1
20200207,Facebook / PageLink,/public-service,/public-service,/public-service,1,0:00:00,1,1,1,1,1
20200208,Facebook / PageLink,/public-service,/public-service,/public-service,1,0:00:00,1,1,1,1,1
20200210,Facebook / PageLink,/public-service,/public-service,/public-service,1,0:00:00,1,1,1,1,1
20200210,Linkedin / PageLink,/public-service,/public-service,/public-service,1,0:00:00,1,1,1,1,1
20200212,Facebook / PageLink,/public-service,/public-service,/public-service,1,0:00:00,1,1,1,1,1
20200212,Linkedin / PageLink,/public-service,/public-service,/public-service,1,0:00:00,1,1,1,1,1
20200219,Google / Extension,/public-service,/public-service,/public-service,1,0:00:00,1,1,1,1,1
20200219,google / organic,/public-service,/public-service,/public-health/mph-public-health,1,0:16:34,0,1,1,1,0
20200221,Facebook / PageLink,/public-service,/public-service,/public-health/mph-public-health,1,0:00:14,0,1,1,1,0
20200222,Linkedin / PageLink,/public-service,/public-service,/public-service,1,0:00:00,1,1,1,1,1
